主控与基础开发物料,,,,,
已去除内部编号、重复型号、空白项和未确认信息；相近器件按功能归类，便于提前构思 Demo。,,,,,
,,,,,
类别,物料,可做什么,常用接口,提供方式,参考资料 / 注意事项
主控,Tuya NiCEMCU_T5_2.8ISP 开发板,本次赛事主要 AIoT 主控，使用 TuyaOpen 开发,以开发板引脚定义为准,按团队与项目需求分配,https://github.com/tuya/TuyaOpen
主控,ESP32-S3 核心板,补充主控，可用于联网、交互与外设控制,GPIO / I2C / SPI / ADC,按需使用,https://github.com/rtek1000/YD-ESP32-23
环境感知,DS18B20 温度传感器,测量温度,1-Wire,基础套件,https://sensorkit.joy-it.net/en/sensors/ky-001
环境感知,DHT11 温湿度传感器,测量空气温度与湿度,1-Wire,基础套件,https://sensorkit.joy-it.net/en/sensors/ky-015
环境感知,BMP280 气压温度传感器,测量气压与环境温度,I2C / SPI,基础套件,https://sensorkit.joy-it.net/en/sensors/ky-052
环境感知,光敏电阻 / 光电晶体管,检测环境光强,ADC,基础套件,
环境感知,土壤湿度传感器,检测土壤含水量变化,ADC,基础套件,适合植物、花盆与环境类 Demo
环境感知,水位传感器,检测是否有水及水位变化,ADC,基础套件,避免长时间浸水与短路
距离与存在,HC-SR04 超声波测距,测量物体距离,GPIO,基础套件,https://sensorkit.joy-it.net/en/sensors/ky-050
距离与存在,红外障碍物 / 循迹传感器,检测近距离障碍或表面反射差异,GPIO,基础套件,适合移动装置和接近交互
动作与姿态,MPU 六轴陀螺仪,读取三轴加速度与三轴角速度,I2C / SPI,基础套件,
动作与姿态,振动 / 敲击 / 滚珠倾斜传感器,检测震动、敲击或姿态变化,GPIO,基础套件,适合轻交互、敲击唤醒与运动反馈
磁场与开合,霍尔 / 干簧管传感器,检测磁铁靠近、门盖开合或位置变化,GPIO / ADC,基础套件,
人体交互,按钮 / 金属触摸 / 摇杆 / 旋转编码器,实现按压、触摸、方向与旋钮交互,GPIO / ADC,基础套件,
声音与生理,麦克风声音传感器,检测音量变化或声音触发,ADC / GPIO,基础套件,不等同于语音识别
声音与生理,心跳传感器,体验式检测脉搏变化,ADC,基础套件,仅用于原型体验，不作医疗用途
红外,红外发射器 + 接收器,发送与接收红外信号，可做遥控交互,GPIO,基础套件,发射端需按电路要求限流
灯光输出,RGB LED / 双色 LED / WS2812B 灯带,实现状态灯、氛围灯与像素灯效,GPIO / PWM,基础套件,注意限流、电压与供电能力
声音输出,有源 / 无源蜂鸣器,提示音、节奏与状态反馈,GPIO / PWM,基础套件,
声音输出,4Ω 喇叭,播放语音或音效,需功放驱动,基础套件,请勿直接连接 GPIO
执行器,5V 继电器,控制灯、水泵等外部负载通断,GPIO,基础套件,5V 供电；涉及高压负载须由现场人员确认
执行器,TT 马达 / SG90 舵机,实现旋转、移动、开合等机械动作,PWM / GPIO,基础套件,建议独立供电并做好机械固定
存储与时钟,SD 卡模块 / DS1302 时钟模块,本地存储数据、断电保持时间,SPI / GPIO,基础套件,
电路辅助,16-bit ADC / 电平转换 / MP1584EN 降压模块,扩展模拟采样、5V/3.3V 电平与供电转换,I2C / GPIO,基础套件,接线前确认输入输出电压
搭建耗材,面包板、电阻包、杜邦线、面包板电源模块,完成免焊接原型搭建与供电,—,基础套件,现场按需补充
限量基础件,3.7V 锂电池,可穿戴或脱离线缆供电,—,限量 10 个，按需申请,须在现场指导下使用与充电
限量基础件,1.54 英寸 OLED,小尺寸文字、图形与状态显示,以实物为准,限量 10 个，按需申请,
限量基础件,2.42 英寸 OLED,较大尺寸文字、图形与状态显示,以实物为准,限量 5 个，按需申请,
限量基础件,ESP32-CAM,摄像、图像采集与联网视觉原型,以实物为准,限量 10 个，按需申请,https://www.handsontec.com/dataspecs/module/ESP32-CAM.pdf
